Subject,Age (mos),"Sex (1=F, 2=M)",Experiment,FamLookingProp (proportion),Fam1-4 (s),Fam5-8 (s),TestLookingProp (proportion),PreferenceScore_20s (proportion),PreferenceScore_10s (proportion)
1,7.01,2,1,0.44438,11.05,6.72,0.46922,0.48936,0.49049
2,7.07,1,1,0.58372,12.27,11.08,0.78037,0.4435,0.516
3,7.07,1,1,0.64619,12.75,13.11,0.75874,0.36184,0.476
4,7.1,1,1,0.75755,16.58,13.72,0.66223,0.73869,0.738
5,7.27,2,1,0.76705,15.12,15.57,0.7371,0.42438,0.484
6,7.3,1,1,0.60882,14.93,9.42,0.34775,0.58373,0.58325
7,7.5,1,1,0.45846,7.74,10.6,0.3827,0.63478,0.63408
8,7.59,2,1,0.58226,12.16,11.13,0.8985,0.69074,0.562
9,7.66,1,1,0.60233,12.24,8.7,0.71215,0.6472,0.69533
10,7.66,1,1,0.5232,12.67,11.43,0.49085,0.63051,0.63058
11,7.76,1,1,0.83458,18.2,15.19,0.95175,0.54545,0.434
12,7.86,2,1,0.6174,10.18,14.51,0.93012,0.50984,0.604
13,8.12,1,1,0.6856,13.65,13.77,0.50582,0.53289,0.54467
14,8.26,2,1,0.62651,11.98,13.08,0.96007,0.69497,0.652
15,7.07,1,2,0.58413,13.3,10.06,0.83361,0.55689,0.53667
16,7.1,2,2,0.50916,10.49,9.88,0.802,0.52905,0.42467
17,7.1,2,2,0.61249,13.39,11.12,0.59235,0.46348,0.51267
18,7.13,1,2,0.64064,12.88,12.75,0.89351,0.39292,0.39533
19,7.23,2,2,0.59413,10.29,13.49,0.66223,0.65578,0.58467
20,7.4,1,2,0.45263,10.47,7.64,0.43927,0.5,0.49962
21,7.43,2,2,0.43514,9.34,8.08,0.44093,0.32075,0.32188
22,7.53,1,2,0.43256,11.18,6.12,0.4975,0.38796,0.388
23,7.76,2,2,0.44722,7.63,10.26,0.67055,0.66005,0.72533
24,7.79,2,2,0.64861,14.06,11.89,0.84859,0.28431,0.26667
25,7.92,2,2,0.56756,11.63,11.07,0.73877,0.47748,0.45933
26,7.93,1,2,0.56548,12.51,10.11,0.62063,0.41555,0.448
27,8.02,1,2,0.72247,12.32,16.58,0.599,0.54167,0.48133
28,8.22,1,2,0.69534,9.72,18.09,0.77371,0.49032,0.53733
29,5.82,2,3,0.658196209,12.8,13.52,0.768333333,0.652928416,0.67
30,5.92,2,3,0.605581008,12.99,11.23,0.491666667,0.491525424,0.491525424
31,5.92,2,3,0.541869919,12.62,8.92,0.735,0.551020408,0.58
32,5.98,2,3,0.717884655,15.95,12.76,0.816666667,0.475510204,0.453333333
33,6.02,1,3,0.385256143,10.78,4.63,0.193333333,0.74137931,0.74137931
34,6.05,2,3,0.869565217,18.36,16.43,0.621666667,0.638069705,0.643333333
35,6.12,1,3,0.477310575,11.27,7.82,0.835,0.449101796,0.453333333
36,6.18,1,3,0.779258642,15.46,15.71,0.671666667,0.650124069,0.67
37,6.28,2,3,0.432224532,10.11,7.18,0.908333333,0.976146789,0.956666667
38,6.31,1,3,0.606659729,13.63,10.63,0.608333333,0.704109589,0.64
39,6.31,1,3,0.559650219,11.6,10.78,0.54,0.484567901,0.47
40,6.51,2,3,0.661599334,10.92,15.55,0.721666667,0.563510393,0.486666667
41,6.58,2,3,0.596001666,13.36,10.48,0.765,0.529411765,0.533333333
42,6.61,1,3,0.708810664,15.32,13.03,0.638333333,0.516971279,0.53
