Subject,Age (mos),"Sex (1=F, 2=M)",Experiment,FamLookingProp (proportion),Fam1-4 (s),Fam5-8 (s),TestLookingProp (proportion),PreferenceScore_20s (proportion),PreferenceScore_10s (proportion)
1,7.01,2,1,0.44,11.05,6.72,0.47,0.49,0.49
2,7.07,1,1,0.58,12.27,11.08,0.78,0.44,0.52
3,7.07,1,1,0.65,12.75,13.11,0.76,0.36,0.48
4,7.10,1,1,0.76,16.58,13.72,0.66,0.74,0.74
5,7.27,2,1,0.77,15.12,15.57,0.74,0.42,0.48
6,7.30,1,1,0.61,14.93,9.42,0.35,0.58,0.58
7,7.50,1,1,0.46,7.74,10.60,0.38,0.63,0.63
8,7.59,2,1,0.58,12.16,11.13,0.90,0.69,0.56
9,7.66,1,1,0.52,12.24,8.70,0.49,0.63,0.63
10,7.66,1,1,0.60,12.67,11.43,0.71,0.65,0.70
11,7.76,1,1,0.83,18.20,15.19,0.95,0.55,0.43
12,7.86,2,1,0.62,10.18,14.51,0.93,0.51,0.60
13,8.12,1,1,0.69,13.65,13.77,0.51,0.53,0.54
14,8.26,2,1,0.63,11.98,13.08,0.96,0.69,0.65
15,7.07,1,2,0.58,13.30,10.06,0.83,0.56,0.54
16,7.10,2,2,0.51,10.49,9.88,0.80,0.53,0.42
17,7.10,2,2,0.61,13.39,11.12,0.59,0.46,0.51
18,7.13,1,2,0.64,12.88,12.75,0.89,0.39,0.40
19,7.23,2,2,0.59,10.29,13.49,0.66,0.66,0.58
20,7.40,1,2,0.45,10.47,7.64,0.44,0.50,0.50
21,7.43,2,2,0.44,9.34,8.08,0.44,0.32,0.32
22,7.53,1,2,0.43,11.18,6.12,0.50,0.39,0.39
23,7.76,2,2,0.45,7.63,10.26,0.67,0.66,0.73
24,7.79,2,2,0.65,14.06,11.89,0.85,0.28,0.27
25,7.92,2,2,0.57,11.63,11.07,0.74,0.48,0.46
26,7.93,1,2,0.57,12.51,10.11,0.62,0.42,0.45
27,8.02,1,2,0.72,12.32,16.58,0.60,0.54,0.48
28,8.22,1,2,0.70,9.72,18.09,0.77,0.49,0.54
29,5.82,2,3,0.66,12.80,13.52,0.77,0.65,0.67
30,5.92,2,3,0.61,12.99,11.23,0.49,0.49,0.49
31,5.92,2,3,0.54,12.62,8.92,0.74,0.55,0.58
32,5.98,2,3,0.72,15.95,12.76,0.82,0.48,0.45
33,6.02,1,3,0.39,10.78,4.63,0.19,0.74,0.74
34,6.05,2,3,0.87,18.36,16.43,0.62,0.64,0.64
35,6.12,1,3,0.48,11.27,7.82,0.84,0.45,0.45
36,6.18,1,3,0.78,15.46,15.71,0.67,0.65,0.67
37,6.28,2,3,0.43,10.11,7.18,0.91,0.98,0.96
38,6.31,1,3,0.61,13.63,10.63,0.61,0.70,0.64
39,6.31,1,3,0.56,11.60,10.78,0.54,0.48,0.47
40,6.51,2,3,0.66,10.92,15.55,0.72,0.56,0.49
41,6.58,2,3,0.60,13.36,10.48,0.77,0.53,0.53
42,6.61,1,3,0.71,15.32,13.03,0.64,0.52,0.53
